v8-version,5,1,281,95,0
code-creation,Stub,3,0x13b774f2b420,972,"NameDictionaryLookupStub"
code-creation,Stub,3,0x13b774f2b800,2205,"FastArrayPushStub"
code-creation,Stub,3,0x13b774f2c0a0,2360,"RecordWriteStub"
code-creation,Handler,4,0x13b774f2c9e0,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f2ca60,743,"FastNewContextStub"
code-creation,Handler,4,0x13b774f2cd60,240,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f2ce60,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f2cee0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f2cf60,240,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f2d060,483,"FastNewObjectStub"
code-creation,Handler,4,0x13b774f2d260,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f2d2e0,212,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f2d3c0,112,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f2d440,332,"BinaryOpICStub"
code-creation,Stub,16,0x13b774f2d5a0,194,"CompareICStub"
code-creation,Stub,3,0x13b774f2d680,391,"FastNewContextStub"
code-creation,Stub,3,0x13b774f2d820,652,"TypeofStub"
code-creation,Stub,15,0x13b774f2dac0,284,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f2dbe0,212,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f2dcc0,320,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f2de00,224,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f2dee0,151,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f2df80,224,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f2e060,276,"BinaryOpICStub"
code-creation,StoreIC,13,0x13b774f2e180,528,"A store IC from the snapshot"
code-creation,Stub,15,0x13b774f2e3a0,204,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f2e480,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f2e500,467,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f2e6e0,224,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f2e7c0,415,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f2e960,116,"StubFailureTrampolineStub"
code-creation,Stub,3,0x13b774f2e9e0,475,"FastNewContextStub"
code-creation,Handler,4,0x13b774f2ebc0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f2ec40,332,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f2eda0,419,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f2ef60,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f2efe0,204,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f2f0c0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f2f140,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f2f1c0,2418,"RecordWriteStub"
code-creation,Stub,16,0x13b774f2fb40,213,"CompareICStub"
